%time,field
1770290504513320564,39.4
1770290504592934047,42.7
1770290504632982199,38.5
1770290504673139789,39.4
1770290504733239398,43.2
1770290504753121102,38.9
1770290504813152710,38.5
1770290504873041169,44.1
1770290504892991063,39.9
1770290504912939225,44.1
1770290504992927298,39.4
1770290505032900245,43.2
1770290505112962148,38.9
1770290505192907825,38.9
1770290505252972715,44.6
1770290505272848031,38.9
1770290505292893605,38.9
1770290505332932667,44.1
1770290505352927452,38.5
1770290505392944613,41.7
1770290505412851451,38.9
1770290505472805972,43.6
1770290505512855939,40.3
1770290505632899748,43.2
1770290505692919275,43.6
1770290505712927435,39.4
1770290505732902661,40.8
1770290505772968643,38.9
1770290505813032100,42.7
1770290505933039679,42.2
1770290505993121939,40.8
1770290506013063764,44.1
1770290506033100321,43.2
1770290506072898697,42.2
1770290506092934731,42.7
1770290506173197023,38.0
1770290506193024527,38.5
1770290506233078938,42.2
1770290506253000372,38.0
1770290506293133022,40.3
1770290506313026247,43.6
1770290506373131976,42.7
1770290506413103381,44.6
1770290506453210534,39.9
1770290506493203755,43.2
1770290506593126754,44.1
1770290506613123561,39.4
1770290506673075604,42.2
1770290506713209074,42.2
1770290506753145510,40.8
1770290506853320155,43.2
1770290506893115858,41.7
1770290506973202125,39.4
1770290507013197480,39.9
1770290507133188646,43.6
1770290507153231621,41.7
1770290507213289623,38.5
1770290507233155534,43.6
1770290507293213371,43.6
1770290507313187600,40.3
1770290507373235762,44.1
1770290507393038867,39.4
1770290507433117547,38.9
1770290507513303989,38.0
1770290507533117997,38.9
1770290507573040295,40.8
1770290507653252020,38.0
1770290507673098097,39.9
1770290507753299683,38.9
1770290507773153726,40.3
1770290507833284527,41.7
1770290507873220325,39.4
1770290507893156876,38.9
1770290507913136503,38.0
1770290507973329411,38.9
1770290507993088637,39.9
1770290508033259000,44.1
1770290508053297839,41.3
1770290508093181673,42.7
1770290508113278343,41.7
1770290508133182767,39.9
1770290508173158033,44.1
1770290508213083101,38.9
1770290508273182793,40.8
1770290508292974656,41.3
1770290508353181150,41.3
1770290508413323089,41.7
1770290508433267184,39.4
1770290508513352056,43.2
1770290508553253657,39.4
1770290508633331647,39.9
1770290508693128835,43.2
1770290508733188126,42.7
1770290508773118892,42.7
1770290508813197678,42.2
1770290508853218695,43.2
1770290508913135730,39.4
1770290508953199956,41.3
1770290509013122603,41.3
1770290509033270769,41.7
1770290509113209499,42.2
1770290509173208320,43.6
1770290509213104044,40.3
1770290509233295327,42.2
1770290509253191264,43.6
1770290509313222355,40.3
1770290509373075704,44.1
1770290509413197508,38.9
1770290509473268468,39.4
1770290509513108343,38.9
1770290509533178284,38.9
1770290509553183503,43.6
1770290509593183407,40.3
1770290509673278989,38.5
1770290509753260955,43.2
1770290509773084064,41.3
1770290509793106442,38.9
1770290509833064046,40.3
1770290509853084905,42.7
1770290509913342122,39.9
1770290509973167147,39.9
1770290509993261716,43.2
1770290510013181815,39.9
1770290510133173968,38.0
1770290510193165729,41.3
1770290510213305320,40.8
1770290510273192593,38.9
1770290510313264385,39.4
1770290510373277704,39.4
1770290510393200194,38.9
1770290510433104758,40.3
1770290510453072591,39.4
1770290510473074725,38.9
1770290510513168469,42.2
1770290510533188241,43.6
1770290510573117130,43.6
1770290510653131286,39.4
1770290510693253888,38.9
1770290510753320663,39.4
1770290510793052772,42.7
1770290510833197946,38.9
1770290510873198964,40.8
1770290510973313608,42.7
1770290510993177235,41.7
1770290511032902462,40.3
1770290511053208132,42.7
1770290511093061949,43.2
1770290511112936798,39.4
1770290511133005257,42.2
1770290511173168646,38.0
1770290511213209613,43.2
1770290511273176793,41.7
1770290511373326102,41.7
1770290511413231625,43.6
1770290511433178377,37.1
1770290511473098104,39.4
1770290511493163701,39.9
1770290511733174753,38.9
1770290511813268378,38.0
1770290511853274156,40.8
1770290511893132118,42.7
1770290511953310264,39.9
1770290512033297393,41.3
1770290512053289445,43.6
1770290512113236043,38.9
1770290512133279725,38.5
1770290512233033075,39.9
1770290512253023390,40.8
1770290512313240045,39.4
1770290512333213714,40.8
1770290512353107547,42.7
1770290512393028507,40.3
1770290512413192471,43.2
1770290512433205114,42.7
1770290512493100860,39.4
1770290512553249628,37.5
1770290512573273501,39.9
1770290512613189100,39.9
1770290512633196301,38.5
1770290512653189555,41.7
1770290512713315638,42.2
1770290512733071126,39.4
1770290512773170161,40.8
1770290512853304622,38.5
1770290512873223656,43.2
1770290512913141195,38.5
1770290512933240441,39.9
1770290512953183988,38.0
1770290513033192263,38.9
1770290513073139309,42.7
1770290513133165567,42.2
1770290513153170715,42.7
1770290513173124745,38.5
1770290513233155413,39.9
1770290513253194727,38.9
1770290513292931764,38.0
1770290513332954129,38.9
1770290513373181799,39.4
1770290513393185219,41.3
1770290513413172730,38.0
1770290513453083267,39.4
1770290513513179598,42.7
1770290513533164348,43.6
1770290513553198772,38.9
1770290513593090366,43.2
1770290513613133554,42.2
1770290513673205524,42.7
1770290513693202227,37.5
1770290513713156916,44.1
1770290513753012350,42.7
1770290513833190860,38.9
1770290513873235575,40.8
1770290513913216312,41.7
1770290513933124335,41.3
1770290513993210351,37.5
1770290514013203577,38.9
1770290514052818217,41.3
1770290514072952075,38.5
1770290514092889589,43.2
1770290514132940430,43.2
1770290514152799358,38.9
1770290514172888633,43.6
1770290514212870707,42.2
1770290514293083276,43.6
1770290514353217670,40.3
1770290514373126645,42.7
1770290514433130179,40.3
1770290514453176788,40.8
1770290514473104616,43.6
1770290514513140936,40.8
1770290514533177275,42.2
1770290514593180642,42.7
1770290514613142428,38.5
1770290514652959999,42.2
1770290514672890056,38.9
1770290514693070459,42.2
1770290514733073194,40.8
1770290514753176681,38.9
1770290514773052976,42.7
1770290514813069350,38.9
1770290514873301388,39.9
1770290514892812969,38.9
1770290514912977617,40.8
1770290514953080032,41.7
1770290514973130198,43.6
1770290514993199923,39.4
1770290515073205430,39.9
1770290515153146629,39.4
1770290515192874053,41.7
1770290515212950069,41.7
1770290515273111343,38.9
1770290515292956461,38.5
1770290515333098784,44.6
1770290515373051983,40.3
1770290515413108389,42.2
1770290515453190249,40.8
1770290515593182256,43.6
1770290515653186980,36.6
1770290515713229865,39.9
1770290515733249111,38.9
1770290515793028130,38.9
1770290515893139285,41.7
1770290515913155261,38.5
1770290515953178532,37.1
1770290516093058908,37.1
1770290516113124963,39.9
1770290516133040665,42.2
1770290516173168345,40.3
1770290516193070034,40.8
