%time,field.angle,field.distance
1770290504513320564,90.0,39.4
1770290504592934047,90.0,42.7
1770290504632982199,90.0,38.5
1770290504673139789,90.0,39.4
1770290504733239398,90.0,43.2
1770290504753121102,90.0,38.9
1770290504813152710,90.0,38.5
1770290504873041169,90.0,44.1
1770290504892991063,90.0,39.9
1770290504912939225,90.0,44.1
1770290504992927298,90.0,39.4
1770290505032900245,90.0,43.2
1770290505112962148,90.0,38.9
1770290505192907825,90.0,38.9
1770290505252972715,90.0,44.6
1770290505272848031,90.0,38.9
1770290505292893605,90.0,38.9
1770290505332932667,90.0,44.1
1770290505352927452,90.0,38.5
1770290505392944613,90.0,41.7
1770290505412851451,90.0,38.9
1770290505472805972,90.0,43.6
1770290505512855939,90.0,40.3
1770290505632899748,90.0,43.2
1770290505692919275,90.0,43.6
1770290505712927435,90.0,39.4
1770290505732902661,90.0,40.8
1770290505772968643,90.0,38.9
1770290505813032100,90.0,42.7
1770290505933039679,90.0,42.2
1770290505993121939,90.0,40.8
1770290506013063764,90.0,44.1
1770290506033100321,90.0,43.2
1770290506072898697,90.0,42.2
1770290506092934731,90.0,42.7
1770290506173197023,90.0,38.0
1770290506193024527,90.0,38.5
1770290506233078938,75.8,42.2
1770290506253000372,90.0,38.0
1770290506293133022,90.0,40.3
1770290506313026247,90.0,43.6
1770290506373131976,90.0,42.7
1770290506413103381,90.0,44.6
1770290506453210534,90.0,39.9
1770290506493203755,90.0,43.2
1770290506593126754,90.0,44.1
1770290506613123561,90.0,39.4
1770290506673075604,90.0,42.2
1770290506713209074,90.0,42.2
1770290506753145510,90.0,40.8
1770290506853320155,90.0,43.2
1770290506893115858,90.0,41.7
1770290506973202125,90.0,39.4
1770290507013197480,90.0,39.9
1770290507133188646,90.0,43.6
1770290507153231621,90.0,41.7
1770290507213289623,90.0,38.5
1770290507233155534,90.0,43.6
1770290507293213371,90.0,43.6
1770290507313187600,82.8,40.3
1770290507373235762,90.0,44.1
1770290507393038867,90.0,39.4
1770290507433117547,90.0,38.9
1770290507513303989,90.0,38.0
1770290507533117997,90.0,38.9
1770290507573040295,90.0,40.8
1770290507653252020,90.0,38.0
1770290507673098097,90.0,39.9
1770290507753299683,90.0,38.9
1770290507773153726,90.0,40.3
1770290507833284527,82.9,41.7
1770290507873220325,90.0,39.4
1770290507893156876,90.0,38.9
1770290507913136503,90.0,38.0
1770290507973329411,90.0,38.9
1770290507993088637,90.0,39.9
1770290508033259000,90.0,44.1
1770290508053297839,90.0,41.3
1770290508093181673,90.0,42.7
1770290508113278343,90.0,41.7
1770290508133182767,90.0,39.9
1770290508173158033,90.0,44.1
1770290508213083101,90.0,38.9
1770290508273182793,90.0,40.8
1770290508292974656,90.0,41.3
1770290508353181150,90.0,41.3
1770290508413323089,90.0,41.7
1770290508433267184,90.0,39.4
1770290508513352056,90.0,43.2
1770290508553253657,90.0,39.4
1770290508633331647,90.0,39.9
1770290508693128835,90.0,43.2
1770290508733188126,90.0,42.7
1770290508773118892,90.0,42.7
1770290508813197678,90.0,42.2
1770290508853218695,90.0,43.2
1770290508913135730,90.0,39.4
1770290508953199956,90.0,41.3
1770290509013122603,90.0,41.3
1770290509033270769,90.0,41.7
1770290509113209499,90.0,42.2
1770290509173208320,90.0,43.6
1770290509213104044,90.0,40.3
1770290509233295327,90.0,42.2
1770290509253191264,90.0,43.6
1770290509313222355,90.0,40.3
1770290509373075704,90.0,44.1
1770290509413197508,90.0,38.9
1770290509473268468,90.0,39.4
1770290509513108343,90.0,38.9
1770290509533178284,90.0,38.9
1770290509553183503,90.0,43.6
1770290509593183407,90.0,40.3
1770290509673278989,90.0,38.5
1770290509753260955,90.0,43.2
1770290509773084064,90.0,41.3
1770290509793106442,90.0,38.9
1770290509833064046,90.0,40.3
1770290509853084905,90.0,42.7
1770290509913342122,90.0,39.9
1770290509973167147,90.0,39.9
1770290509993261716,90.0,43.2
